"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-07-31,75432,"39813","GA",,"Calhoun","Arlington",14531,38500,-0.00259067357512953,-0.0422885572139304,-0.13677130044843,,,"2017-08","2017-Q3",44700,-0.138702460850112,"2017-02"
2018-07-31,76548,"43145","OH","Columbus","Pickaway","New Holland",14532,93100,-0.00534188034188034,-0.0189673340358272,0.0713463751438435,,,"2018-04","2018-Q2",94900,-0.0189673340358272,"2018-03"
2018-07-31,59888,"05444","VT",,"Lamoille","Cambridge",14533,226400,0.00310146211785556,0.0066696309470876,0.0300272975432211,,,"2007-05","2007-Q2",227900,-0.00658183413777973,"2007-03"
2018-07-31,59915,"05472","VT",,"Addison","New Haven",14534,259300,0.00193199381761978,0.00777302759424796,0.100594227504244,,,"2018-07","2018-Q3",259300,0,"2018-07"
2018-07-31,60012,"05765","VT","Rutland","Rutland","Proctor",14535,135300,-0.0014760147601476,-0.0124087591240876,-0.0259179265658747,,,"2007-02","2007-Q1",150500,-0.100996677740864,"2005-06"
2018-07-31,63285,"13775","NY",,"Delaware","Franklin",14536,138600,0.0050761421319797,0.0131578947368421,0.106145251396648,,,"2008-01","2008-Q1",144100,-0.0381679389312977,"2007-04"
2018-07-31,66909,"21555","MD","Cumberland","Allegany","Oldtown",14537,97100,-0.00614124872057318,-0.00715746421267894,-0.030938123752495,,,"2006-10","2006-Q4",129700,-0.251349267540478,"2005-12"
2018-07-31,77069,"44214","OH","Wooster","Wayne","Burbank",14538,160300,0.00375704445835942,0.0335267569310123,0.112421929215822,,,"2018-07","2018-Q3",160300,0,"2018-07"
2018-07-31,86614,"64835","MO","Joplin","Jasper","Carterville",14539,68600,0.00439238653001464,0.0193164933135215,0.0284857571214393,,,"2006-11","2006-Q4",77500,-0.114838709677419,"2006-05"
2018-07-31,90261,"74051","OK","Bartlesville","Washington","Ochelata",14540,87700,0.0068886337543054,0.0209545983701979,0.14640522875817,,,"2018-07","2018-Q3",87700,0,"2018-07"
2018-07-31,73830,"36321","AL","Dothan","Houston","Cowarts",14541,96200,0,0.00944386149003148,0.00522466039707419,,,"2007-04","2007-Q2",118100,-0.185436071126164,"2005-10"
2018-07-31,77828,"45812","OH",,"Hardin","Alger",14542,79400,0.00252525252525253,0.0140485312899106,0.0461133069828722,,,"2007-05","2007-Q2",83400,-0.0479616306954436,"2005-08"
2018-07-31,79873,"49689","MI",,"Manistee","Wellston",14543,53700,-0.0289330922242315,-0.0693240901213172,-0.173846153846154,,,"2005-07","2005-Q3",76900,-0.301690507152146,
2018-07-31,81981,"54930","WI",,"Waushara","Coloma",14544,130800,-0.00304878048780488,0.00153139356814701,0.0660146699266504,,,"2018-05","2018-Q2",131600,-0.0060790273556231,"2018-05"
2018-07-31,86009,"63349","MO","St. Louis","Lincoln","Hawk Point",14545,157600,0.00767263427109974,0.0444002650762094,0.131371141421393,,,"2018-07","2018-Q3",157600,0,"2018-07"
2018-07-31,99080,"97110","OR","Astoria","Clatsop","Cannon Beach",14546,538300,0.00598019061857597,0.0210546282245827,0.0336021505376344,,,"2018-07","2018-Q3",538300,0,"2018-07"
2018-07-31,60226,"06254","CT","New London","New London","Franklin",14547,219600,0.00687757909215956,0.0152565880721221,0.0492116579073101,,,"2005-08","2005-Q3",263500,-0.166603415559772,"2004-10"
2018-07-31,74809,"38388","TN",,"Henderson","Lexington",14548,92200,-0.00216450216450216,0.00435729847494553,0.168567807351077,,,"2018-06","2018-Q2",92400,-0.00216450216450216,"2018-05"
2018-07-31,87420,"67031","KS","Wichita","Sumner","Conway Springs",14549,88800,0.0136986301369863,0.034965034965035,-0.00559910414333707,,,"2007-12","2007-Q4",99900,-0.111111111111111,"2007-04"
2018-07-31,87520,"67228","KS","Wichita","Sedgwick","Wichita",14550,319300,0.00820966214082728,0.0185007974481659,0.0101233786776337,,,"2018-07","2018-Q3",319300,0,"2018-07"
2018-07-31,62676,"12577","NY","New York","Orange","Beaverdam Lake-Salisbury Mills",14551,288400,0.0147783251231527,0.027431421446384,0.0797454137027331,,,"2006-09","2006-Q3",356000,-0.189887640449438,"2003-12"
2018-07-31,85166,"61813","IL","Champaign-Urbana","Piatt","Bement",14552,85700,0.00468933177022274,-0.0160734787600459,0.00351288056206089,,,"2008-06","2008-Q2",94300,-0.0911983032873807,"2006-04"
2018-07-31,88198,"68832","NE","Grand Island","Hall","Doniphan",14553,238800,0.00336134453781513,0.00462768195204039,0.0423395896988215,,,"2018-07","2018-Q3",238800,0,"2018-07"
2018-07-31,84265,"59932","MT","Kalispell","Flathead","Somers",14554,347500,0.00812300551203946,0.0441706730769231,0.204088704088704,,,"2018-07","2018-Q3",347500,0,"2018-07"
