Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
7/31/2018,60370,6518,CT,New Haven,New Haven,Hamden,6275,228700,0.001752081,0.009713024,0.047161172,,,2006-01,2006-Q1,304100,-0.247944755,2003-07
7/31/2018,91029,75672,TX,Marshall,Harrison,Marshall,6276,101800,-0.000981354,0.008919722,-0.005859375,,,2015-04,2015-Q2,109300,-0.068618481,2013-12
7/31/2018,93974,82716,WY,Gillette,Campbell,Gillette,6277,215300,-0.003240741,-0.007376671,-0.046501329,,,2017-12,2017-Q4,226400,-0.049028269,2016-10
7/31/2018,58586,2035,MA,Boston,Norfolk,Foxborough,6278,439000,-0.002726034,0.001368613,0.064758671,,,2018-06,2018-Q2,440200,-0.002726034,2018-05
7/31/2018,75908,41075,KY,Cincinnati,Campbell,Fort Thomas,6279,223700,0.006297796,0.025206233,0.115154536,,,2018-07,2018-Q3,223700,0,2018-07
7/31/2018,85908,63074,MO,St. Louis,Saint Louis,Saint Ann,6280,85200,0.007092199,0.031476998,0.079847909,,,2007-06,2007-Q2,104100,-0.181556196,2003-10
7/31/2018,63506,14305,NY,Buffalo,Niagara,Niagara Falls,6281,68600,0.016296296,0.052147239,0.154882155,,,2018-07,2018-Q3,68600,0,2018-07
7/31/2018,74473,37771,TN,Knoxville,Loudon,Lenoir City,6282,142900,-0.001397624,0.01275691,0.103474903,,,2018-06,2018-Q2,143100,-0.001397624,2018-06
7/31/2018,90407,74447,OK,Tulsa,Okmulgee,Okmulgee,6283,50500,0.012024048,0.028513238,0.095444685,,,2018-07,2018-Q3,50500,0,2018-07
7/31/2018,98298,95602,CA,Sacramento,Placer,Auburn,6284,466100,0.001719321,0.014142733,0.073468448,,,2006-07,2006-Q3,493500,-0.055521783,2005-03
7/31/2018,93482,80620,CO,Greeley,Weld,Evans,6285,265800,0.005675369,0.029036005,0.134443022,,,2018-07,2018-Q3,265800,0,2018-07
7/31/2018,58950,2865,RI,Providence,Providence,Lincoln,6286,326800,-0.000917151,0.008641975,0.092245989,,,2005-06,2005-Q2,359900,-0.091969992,2004-07
7/31/2018,60684,7461,NJ,New York,Sussex,Wantage,6287,224600,0.005821764,0.014911884,0.084500241,,,2006-10,2006-Q4,319300,-0.296586282,2003-05
7/31/2018,59920,5478,VT,Burlington,Franklin,Saint Albans,6288,212900,0.002826189,0.005193579,0.02454283,,,2018-07,2018-Q3,212900,0,2018-07
7/31/2018,60823,7834,NJ,New York,Morris,Denville,6289,400500,0.00099975,0.00401103,0.046785154,,,2006-05,2006-Q2,449500,-0.109010011,2005-03
7/31/2018,70391,29302,SC,Spartanburg,Spartanburg,Spartanburg,6290,135400,0.00147929,0.002962963,0.03279939,,,2018-07,2018-Q3,135400,0,2018-07
7/31/2018,77908,46011,IN,Indianapolis,Madison,Anderson,6291,110100,0.011019284,0.078354554,0.125766871,,,2018-07,2018-Q3,110100,0,2018-07
7/31/2018,91453,76528,TX,Killeen,Coryell,Gatesville,6292,101200,0.006965174,0.026369168,0.070899471,,,2018-07,2018-Q3,101200,0,2018-07
7/31/2018,73477,35473,AL,Tuscaloosa,Tuscaloosa,Northport,6293,180900,0.003884573,0.012311136,0.113230769,,,2018-07,2018-Q3,180900,0,2018-07
7/31/2018,74567,37932,TN,Knoxville,Knox,Knoxville,6294,254100,0,0.012350598,0.077151335,,,2018-07,2018-Q3,254100,0,2018-07
7/31/2018,84455,60304,IL,Chicago,Cook,Oak Park,6295,373800,-0.003996803,-0.006643635,0.01027027,,,2006-07,2006-Q3,397300,-0.059149257,2005-09
7/31/2018,96474,91723,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Covina,6296,539700,-0.001849454,0.001298701,0.058650451,,,2018-06,2018-Q2,540700,-0.001849454,2018-05
7/31/2018,64531,16301,PA,Oil City,Venango,Oil City,6297,55100,0.001818182,0,0.055555556,,,2018-07,2018-Q3,55100,0,2018-07
7/31/2018,64622,16508,PA,Erie,Erie,Erie,6298,85100,-0.001173709,0.009489917,0.035279805,,,2018-06,2018-Q2,85200,-0.001173709,2018-06
7/31/2018,92607,78676,TX,Austin,Hays,Wimberley,6299,321800,0.009727016,0.021911718,0.047867144,,,2018-07,2018-Q3,321800,0,2018-07
7/31/2018,74078,36870,AL,Auburn,Lee,Smiths,6300,140800,0.000710732,0.004996431,0.010768126,,,2008-08,2008-Q3,142600,-0.012622721,2008-05
7/31/2018,90688,75094,TX,Dallas-Fort Worth,Collin,Murphy,6301,384700,0.00026001,0.012368421,0.114749348,,,2018-07,2018-Q3,384700,0,2018-07
